Link Text	URL
Temporary Graduate (Replacement stream) visa (subclass 485)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/temporary-graduate-replacement-stream-visa-subclass-485
Skilled-Recognised Graduate visa (subclass 476)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-recognised-graduate-visa-subclass-476
Business (Short Stay) visa (subclass 456)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/business-short-stay-visa-subclass-456
Business Skills (Provisional) visa (subclass 160 and 165)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/business-skills-provisional-visas-subclasses-160-165
Business Talent (Permanent) visa (subclass 132)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/business-talent-permanent-132
Distinguished Talent visa (subclass 124)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/distinguished-talent-124
Domestic Worker (Temporary) Diplomatic and Consular visa (subclass 426)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/domestic-worker-temporary-diplomatic-consular-426
Domestic Worker (Temporary) Executive visa (subclass 427)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/domestic-worker-(temporary-executive-visa)-(subclass-427)
Electronic Travel Authority (Business Entrant) visa (subclass 956 and 977)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/electronic-travel-authority-business-entrant-subclass-956-and-977
Electronic Travel Authority (Visitor) visa (subclass 976)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/electronic-travel-authority-visitor-subclass-976
Employer Nomination Scheme (subclass 121 and 856)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/employer-nomination-scheme-121
Established Business in Australia visa (subclass 845)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/established-business-in-australia-visa-subclass-845
Exchange visa (subclass 411)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/exchange-visa-subclass-411
Foreign Government Agency (subclass 415)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/foreign-government-agency-visa-subclass-415
Government Agreement visa (subclass 406)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/government-agreement-visa-subclass-406
Labour Agreement visa (subclass 120)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/labour-agreement-visa-(subclass-120)
Labour Agreement visa (subclass 855)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/labour-agreement-visa-subclass-855
Media and Film Staff visa (subclass 423)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/media-film-staff-423
Medical Practitioner visa (subclass 422)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/medical-practitioner-visa-subclass-422
Medical Treatment (Short Stay) visa (subclass 675)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/medical-treatment-short-stay-visa-subclass-675
Medical Treatment Long Stay visa (subclass 685)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/medical-treatment-long-stay-visa-subclass-685
Regional Sponsor Migration Scheme (subclass 119 and 857)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/regional-sponsored-migration-scheme-(subclasses-119-and-857)
Religious Worker visa (subclass 428)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/religious-worker-visa-subclass-428
Retirement visa (subclass 410)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/subclass-410
Skilled Designated Area Sponsored visa (subclass 496)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-designated-area-sponsored-visa-subclass-496
Skilled Independent Regional (Provisional) visa (subclass 495)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-independent-regional-provisional-visa-subclass-495
Skilled Independent visa (subclass 175)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-independent-subclass-175
Skilled Independent visa (subclass 885)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-independent-visa-(subclass-885)
Skilled Regional Sponsored visa (subclass 475)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-regional-sponsored-visa-subclass-475
Skilled Regional Sponsored (subclass 487)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-regional-sponsored-visa-subclass-487
Skilled Sponsored visa (subclass 176)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-sponsored-visa-subclass-176
Special Program visa (subclass 416)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/special-program-visa-subclass-416
Sponsored visa (subclass 886)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-sponsored-visa-subclass-886
Sport visa (subclass 421)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/sport-visa-subclass-421
Superyacht Crew visa (subclass 488)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/superyacht-crew-visa-488
State or Territory Sponsored Regional Established Business in Australia visa (subclass 846)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/state-territory-sponsored-regional-established-business-in-australia-visa-subclass-846
Temporary Work (Entertainment) visa (subclass 420)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/temporary-work-entertainment-visa-subclass-420
Temporary Work (Skilled) visa (subclass 457)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/temporary-work-skilled-457
Tourist visa (subclass 676)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/tourist-visa-676
Temporary Work (long Stay Activity) visa (subclass 401)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/temporary-work-(long-stay-activity)-visa-(sublass-401)
Training and Research visa (subclass 402)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/training-and-research-visa-subclass-402
Visiting Academic visa (subclass 419)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/visting-academic-visa-subclass-419
Foreign Affairs or Defence sector visa (subclass 576)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/foreign-affairs-or-defence-sector-visa-subclass-576
Higher Education Sector visa (subclass 573)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/higher-education-sector-573
Independent ELICOS Sector visa (subclass 570)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/independent-elicos-sector-570
Non Award Sector visa (subclass 575)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/non-award-sector-575
Postgraduate Research Sector visa (subclass 574)	https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/postgraduate-research-sector-574
